INFO  2022-09-02 17:24:25,957 647516ms FlightSearchServices   SearchMultiTicket  - Search End
DEBUG 2022-09-02 17:24:26,112 647672ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=1
DEBUG 2022-09-02 17:24:26,137 647697ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=2
DEBUG 2022-09-02 17:24:26,138 647698ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=3
DEBUG 2022-09-02 17:24:26,139 647699ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=4
DEBUG 2022-09-02 17:24:26,140 647700ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=5
DEBUG 2022-09-02 17:24:26,143 647703ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=6
DEBUG 2022-09-02 17:24:26,145 647705ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=7
DEBUG 2022-09-02 17:24:26,193 647752ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=8
DEBUG 2022-09-02 17:24:26,196 647755ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=9
DEBUG 2022-09-02 17:24:26,197 647756ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=10
DEBUG 2022-09-02 17:24:26,199 647758ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=11
DEBUG 2022-09-02 17:24:26,200 647759ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=12
DEBUG 2022-09-02 17:24:26,201 647760ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=13
DEBUG 2022-09-02 17:24:26,203 647762ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=14
DEBUG 2022-09-02 17:24:26,206 647765ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=15
DEBUG 2022-09-02 17:24:26,208 647767ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=16
DEBUG 2022-09-02 17:24:26,212 647771ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=17
DEBUG 2022-09-02 17:24:26,213 647772ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=18
DEBUG 2022-09-02 17:24:26,216 647775ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=19
DEBUG 2022-09-02 17:24:26,222 647781ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=20
DEBUG 2022-09-02 17:24:26,229 647788ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=21
DEBUG 2022-09-02 17:24:26,230 647789ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=22
DEBUG 2022-09-02 17:24:26,232 647791ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=23
DEBUG 2022-09-02 17:24:26,233 647792ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=24
DEBUG 2022-09-02 17:24:26,234 647793ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=25
DEBUG 2022-09-02 17:24:26,236 647795ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=26
DEBUG 2022-09-02 17:24:26,238 647797ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=27
DEBUG 2022-09-02 17:24:26,250 647809ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=28
DEBUG 2022-09-02 17:24:26,252 647811ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=29
DEBUG 2022-09-02 17:24:26,253 647812ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=30
DEBUG 2022-09-02 17:24:26,257 647816ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=31
DEBUG 2022-09-02 17:24:26,259 647818ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=32
DEBUG 2022-09-02 17:24:26,260 647819ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=33
DEBUG 2022-09-02 17:24:26,261 647821ms FlightSearchServices   SearchMultiTicket  - multiTicket.recommendation_number=34
